movie_title,pacing_efficiency,originality,family_friendly,plot_quality_rating,plot_quality_reasons_for_liking,plot_quality_reasons_for_disliking,dialogues,end_feeling_emotional_adjective,end_feeling_ending_rating,end_feeling_structural_adjective,immersive,impactful,overall_feeling,visuals,visual_effects,sound_audio_balance_issue,sound_bgm_quality,sound_song_tracks_quality,performance_of_actors,connected,references_contained,cognitive_requirement,technical_knowledge_required,photosensitivity_warnings,animal_harm,trailer_or_spoiler
The Bridge on the River Kwai,3,4,3,4,"['tight_structure', 'strong_pacing']",[],4,sad,4,earned,5,5,4,5,4,False,5,4,5,1,1,4,1,1,1,3
On the Waterfront,3,4,2,4,"['strong_pacing', 'tight_structure']",['predictable'],5,bittersweet,5,earned,4,5,4,4,3,False,5,3,5,1,1,4,1,1,1,2
Le salaire de la peur,4,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],4,sad,5,earned,5,5,5,4,4,False,4,3,5,1,1,3,1,1,2,5
Ace in the Hole,3,5,1,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,sad,4,earned,4,5,4,4,3,False,4,3,5,1,2,3,1,1,1,3
White Heat,5,4,1,4,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],4,energized,5,satisfying,4,5,5,3,3,False,4,3,5,1,1,2,1,1,1,4
The Third Man,3,5,1,5,"['unpredictable', 'plot_twists', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,5,5,5,4,2,3,1,1,1,5
The Red Shoes,3,5,2,4,"['strong_pacing', 'tight_structure']",[],4,sad,5,earned,5,5,5,5,5,False,5,5,4,1,1,4,2,1,1,3
The Shop Around the Corner,4,4,3,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,happy,5,satisfying,4,5,4,3,1,False,4,3,5,1,1,1,1,1,1,3
Rebecca,3,3,2,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,bittersweet,4,earned,4,5,4,4,3,False,5,3,5,1,1,4,1,1,1,5
Mr. Smith Goes to Washington,3,4,3,4,"['strong_pacing', 'tight_structure']",[],4,happy,4,earned,4,5,4,3,2,False,4,3,5,5,3,3,1,1,1,3
Gone with the Wind,2,3,2,4,"['unpredictable', 'tight_structure']","['cliche', 'narrative_inconsistency']",4,bittersweet,4,ambiguous,4,5,4,5,4,False,5,5,5,1,3,3,1,1,1,2
La Grande Illusion,3,5,3,5,"['tight_structure', 'unpredictable', 'strong_pacing']",[],5,bittersweet,5,earned,5,5,5,4,1,False,4,3,5,1,3,3,1,1,1,3
It Happened One Night,4,4,3,4,"['strong_pacing', 'tight_structure']",[],5,happy,5,satisfying,4,5,4,3,3,False,3,3,5,3,3,2,1,1,1,3
La passion de Jeanne d'Arc,2,5,2,5,"['tight_structure', 'strong_pacing']",[],2,sad,5,earned,5,5,5,5,1,False,1,1,5,1,1,4,1,1,1,1
The Circus,4,5,5,4,"['strong_pacing', 'tight_structure']",[],1,bittersweet,5,earned,4,4,4,4,4,False,5,1,5,1,4,1,1,1,1,1
Sunrise: A Song of Two Humans,3,5,3,5,"['tight_structure', 'strong_pacing']",[],3,happy,5,satisfying,5,5,5,5,5,False,3,3,5,1,1,3,1,1,1,1
The General,4,5,5,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],3,happy,5,satisfying,5,5,5,5,5,False,4,1,5,1,1,3,1,1,1,1
Das Cabinet des Dr. Caligari,3,5,1,4,"['unpredictable', 'plot_twists', 'tight_structure']",[],2,neutral,5,ambiguous,5,5,5,5,5,False,4,1,4,1,1,4,3,1,1,5
Badhaai ho,4,4,4,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,happy,4,satisfying,4,4,4,3,3,False,3,4,5,4,2,2,1,1,1,3
Togo,4,3,4,4,"['strong_pacing', 'tight_structure']",[],3,bittersweet,4,satisfying,4,4,4,5,4,False,4,4,4,1,2,2,1,1,1,3
Airlift,4,3,4,3,"['strong_pacing', 'tight_structure']",['predictable'],4,energized,3,satisfying,4,4,3,3,3,False,4,4,4,1,2,2,1,2,1,3
Bajrangi Bhaijaan,3,4,5,4,"['strong_pacing', 'tight_structure']",['predictable'],4,bittersweet,5,earned,4,5,4,4,3,False,4,4,5,3,2,2,1,1,1,3
Baby,3,3,2,3,"['strong_pacing', 'tight_structure']","['predictable', 'cliche']",4,bittersweet,4,earned,4,4,3,3,3,False,4,5,5,1,1,2,1,1,1,3
La La Land,3,3,4,4,"['tight_structure', 'plot_twists']",['predictable'],3,bittersweet,5,earned,4,4,4,5,4,False,5,5,4,1,5,2,1,1,1,3
Lion,3,4,3,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],3,bittersweet,5,satisfying,4,4,4,4,3,False,5,4,5,1,1,2,1,1,1,3
The Martian,4,4,4,4,"['strong_pacing', 'tight_structure']",['predictable'],4,energized,4,satisfying,4,4,4,5,5,False,4,4,4,4,2,3,3,1,1,3
Zootopia,4,4,5,4,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],4,happy,4,satisfying,5,4,4,5,5,False,4,4,5,3,3,3,1,1,2,3
Bãhubali: The Beginning,3,4,4,3,"['strong_pacing', 'tight_structure']","['predictable', 'cliche']",3,energized,2,ambiguous,4,5,4,4,4,False,5,4,4,4,4,2,1,2,2,4
Kaguyahime no monogatari,3,4,3,4,"['tight_structure', 'strong_pacing']",[],4,bittersweet,5,earned,5,5,4,5,5,False,5,4,5,1,1,3,1,1,1,3
Wonder,3,3,5,3,"['strong_pacing', 'tight_structure']","['predictable', 'cliche']",4,happy,4,earned,4,4,4,3,4,False,3,3,4,4,1,2,1,1,1,3
Gully Boy,4,4,3,4,"[""strong_pacing"", ""tight_structure"", ""unpredictable""]","[""cliche""]",4,energized,4,earned,4,4,4,4,3,False,5,5,5,1,1,2,1,1,1,2
Special Chabbis,4,4,3,4,"[""unpredictable"", ""plot_twists"", ""tight_structure""]",[],4,energized,5,earned,4,3,4,3,3,False,4,3,5,1,1,3,1,1,1,2
Short Term 12,4,4,1,4,"[""unpredictable"", ""strong_pacing"", ""tight_structure""]",[],5,bittersweet,4,earned,5,5,4,4,5,False,4,4,5,1,1,3,1,1,1,2
Serbuan maut 2: Berandal,4,4,1,4,"[""unpredictable"", ""plot_twists"", ""strong_pacing""]","[""cliche""]",3,neutral,5,earned,5,5,5,5,4,False,4,3,4,2,1,3,1,2,1,2
The Imitation Game,4,3,3,4,"[""strong_pacing"", ""tight_structure""]",[],4,bittersweet,4,earned,4,4,4,3,4,False,5,3,5,1,1,3,2,1,1,2
Guardians of the Galaxy,4,4,4,3,"[""strong_pacing"", ""tight_structure""]","[""predictable"", ""cliche""]",5,energized,4,earned,4,4,4,4,5,False,4,5,5,2,2,1,1,2,1,2
Blade Runner 2049,3,4,1,4,"[""unpredictable"", ""plot_twists"", ""tight_structure""]",[],4,bittersweet,4,earned,5,5,4,5,5,False,5,4,5,4,1,5,1,1,2,1
Her,3,5,2,4,"[""unpredictable"", ""strong_pacing"", ""tight_structure""]",[],5,bittersweet,4,earned,5,5,4,5,4,False,5,5,5,1,1,3,1,1,1,1
Bohemian Rhapsody,3,2,3,2,"[""strong_pacing""]","[""predictable"", ""cliche""]",2,energized,4,satisfying,4,3,3,4,4,False,5,5,5,1,1,1,1,2,1,2
The Revenant,3,4,1,3,"[""strong_pacing"", ""tight_structure""]","[""predictable"", ""cliche""]",2,bittersweet,4,earned,5,5,4,5,5,False,4,3,5,1,1,3,1,1,5,2
The Perks of Being a Wallflower,4,4,2,4,"[""unpredictable"", ""strong_pacing"", ""tight_structure""]",[],5,bittersweet,5,earned,4,5,4,3,3,False,4,5,5,1,2,3,1,1,1,2
Tropa de Elite 2: O Inimigo Agora é Outro,5,4,1,5,"[""unpredictable"", ""strong_pacing"", ""tight_structure""]",[],5,energized,5,earned,5,5,5,4,4,False,4,4,5,4,1,4,1,1,1,2
The King's Speech,3,3,3,4,"[""strong_pacing"", ""tight_structure""]",[],4,energized,4,earned,4,4,4,3,4,False,4,3,5,1,1,2,1,1,1,2
The Help,3,3,2,3,"[""strong_pacing"", ""tight_structure""]","[""predictable"", ""cliche""]",4,bittersweet,3,earned,4,4,3,3,3,False,3,3,5,1,1,1,1,1,1,2
Deadpool,5,4,1,3,"[""strong_pacing""]","[""predictable"", ""cliche""]",5,happy,4,earned,2,4,4,3,3,False,3,5,5,2,5,1,1,2,1,1
Darbareye Elly,4,5,1,5,"[""unpredictable"", ""plot_twists"", ""strong_pacing"", ""tight_structure""]",[],4,sad,5,earned,5,5,5,4,5,False,4,1,5,1,1,4,1,1,1,2
Dev.D,4,5,1,4,"[""unpredictable"", ""strong_pacing"", ""tight_structure""]",[],4,bittersweet,4,earned,5,5,4,4,3,False,5,5,5,1,2,4,1,1,1,2
Yip Man,4,3,2,4,"[""strong_pacing"", ""tight_structure""]","[""predictable"", ""cliche""]",3,bittersweet,4,earned,4,4,4,4,4,False,4,3,4,1,1,2,1,1,1,2
My Name Is Khan,3,4,3,3,['tight_structure'],"['predictable', 'narrative_inconsistency']",3,energized,4,earned,4,4,4,4,3,False,4,4,5,3,2,3,1,1,1,3
Nefes: Vatan Sagolsun,4,3,1,4,"[""strong_pacing"", ""tight_structure""]",[],4,bittersweet,4,earned,5,5,4,4,3,False,4,3,4,1,1,3,1,2,1,2
Slumdog Millionaire,4,4,2,4,"[""unpredictable"", ""strong_pacing"", ""tight_structure""]",[],3,happy,4,satisfying,4,4,4,4,4,False,5,5,4,1,1,2,1,1,4,2
Black Swan,4,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,5,5,5,5,4,False,5,5,5,1,1,4,2,3,1,3
Tropa de Elite,5,4,1,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,4,earned,5,5,4,4,3,False,4,4,5,3,4,4,2,3,1,3
The Avengers,4,4,4,4,"['strong_pacing', 'tight_structure']",[],5,energized,4,satisfying,4,5,4,4,4,False,4,3,4,5,5,2,1,2,1,3
Persepolis,4,5,2,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,bittersweet,4,earned,4,5,4,5,4,False,4,4,4,4,5,4,1,1,1,3
Dallas Buyers Club,3,4,1,4,"['strong_pacing', 'tight_structure']",[],4,bittersweet,4,earned,4,5,4,3,1,False,3,3,5,1,1,3,1,1,1,3
The Pursuit of Happyness,3,3,4,4,"['strong_pacing', 'tight_structure']",['predictable'],4,happy,5,earned,4,4,4,3,3,False,3,3,5,1,1,2,1,1,1,3
Blood Diamond,4,3,1,4,"['strong_pacing', 'tight_structure']",['predictable'],4,bittersweet,4,earned,5,5,4,5,4,False,4,4,5,5,5,4,1,3,1,4
The Bourne Ultimatum,5,4,2,4,"['plot_twists', 'strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,5,5,5,4,4,False,5,5,5,5,5,3,1,2,1,3
Bin-jip,3,5,3,4,"['tight_structure', 'unpredictable']",[],2,bittersweet,4,ambiguous,4,4,4,4,3,False,4,4,4,3,3,4,1,1,1,4
Sin City,5,5,1,4,"['plot_twists', 'strong_pacing', 'tight_structure']",['cliche'],5,bittersweet,4,satisfying,5,5,4,5,5,False,4,4,4,3,3,3,1,3,1,3
Le scaphandre et le papillon,3,5,2,4,"['tight_structure', 'unpredictable']",[],4,bittersweet,4,earned,5,5,5,4,3,False,4,3,5,1,1,4,1,1,1,3
G.O.R.A.,3,3,2,3,"['unpredictable', 'strong_pacing']","['cliche', 'predictable']",4,happy,4,satisfying,3,3,3,3,3,False,3,3,4,3,5,2,1,1,1,3
Ratatouille,5,5,5,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,happy,5,earned,5,5,5,5,5,False,5,4,5,1,3,3,1,1,1,4
Casino Royale,4,4,1,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,4,earned,5,5,5,4,4,False,4,4,5,3,2,3,1,1,1,3
Kill Bill: Vol. 2,3,5,1,4,"['unpredictable', 'plot_twists', 'tight_structure']",[],5,bittersweet,4,satisfying,4,5,4,4,3,False,5,5,5,5,5,3,1,2,1,2
Vozvrashchenie,3,4,2,4,"['tight_structure', 'unpredictable']",[],4,sad,5,earned,5,5,4,5,4,False,4,4,5,4,2,4,2,1,2,4
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,3,5,2,4,"['strong_pacing', 'tight_structure']",[],2,bittersweet,4,earned,5,5,4,5,3,False,4,3,4,1,1,5,1,1,3,3
Mar adentro,3,4,2,4,"['strong_pacing', 'tight_structure']",[],5,bittersweet,4,earned,5,5,4,4,3,False,4,4,5,1,2,4,1,1,1,3
Cinderella Man,3,2,3,3,"['strong_pacing', 'tight_structure']","['predictable', 'cliche']",3,energized,4,earned,4,3,3,3,3,False,4,3,4,1,3,2,1,1,1,3
Kal Ho Naa Ho,3,3,4,4,"['strong_pacing', 'tight_structure']",['predictable'],5,bittersweet,5,earned,4,5,4,4,3,False,5,5,5,1,2,2,1,1,1,3
Mou gaan dou,5,4,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,satisfying,5,5,5,4,3,False,5,4,5,3,2,4,1,1,1,4
Pirates of the Caribbean: The Curse of the Black Pearl,4,4,4,4,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,happy,4,earned,5,5,4,5,5,False,5,5,5,3,2,2,1,1,1,3
Big Fish,3,5,4,4,"['unpredictable', 'tight_structure']",['cliche'],4,bittersweet,5,earned,5,5,5,5,4,False,4,4,5,1,2,3,1,1,1,3
The Incredibles,5,4,5,4,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,energized,4,satisfying,5,5,4,5,5,False,5,5,5,4,3,3,1,1,1,4
Yeopgijeogin geunyeo,3,5,3,4,"['unpredictable', 'strong_pacing', 'tight_structure']",['predictable'],4,bittersweet,5,earned,4,5,4,3,3,False,4,4,5,1,2,2,1,1,1,3
Dogville,3,5,1,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,sad,5,earned,4,5,4,4,3,False,4,4,5,2,4,5,2,1,1,5
Vizontele,3,4,4,4,"['strong_pacing', 'tight_structure']","['predictable', 'cliche']",5,bittersweet,4,earned,5,5,4,4,3,False,4,4,5,1,4,3,1,1,1,2
Donnie Darko,3,5,1,4,"['unpredictable', 'plot_twists', 'tight_structure']",['narrative_inconsistency'],4,bittersweet,5,earned,5,5,4,4,3,False,5,5,4,1,4,5,3,2,1,4
Magnolia,3,5,1,4,"['unpredictable', 'tight_structure']",['narrative_inconsistency'],5,bittersweet,4,ambiguous,5,5,4,4,4,False,5,5,5,1,2,4,1,2,3,3
Dancer in the Dark,2,5,1,4,"['unpredictable', 'tight_structure']",[],4,sad,5,earned,5,5,4,4,3,False,5,5,5,1,1,4,2,1,1,5
The Straight Story,3,5,4,4,"['strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,4,4,4,4,3,False,5,4,5,1,1,2,1,1,1,3
Pâfekuto burû,4,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,5,5,5,4,4,False,5,4,5,1,2,5,1,4,1,5
Festen,3,5,1,5,"['unpredictable', 'plot_twists', 'tight_structure']",[],5,bittersweet,4,earned,5,5,5,2,1,True,1,1,5,1,1,4,1,1,1,5
Central do Brasil,3,4,3,4,"['strong_pacing', 'tight_structure']",[],4,bittersweet,4,earned,5,5,4,5,3,False,4,4,5,1,1,3,1,1,1,3
The Iron Giant,4,5,5,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,5,False,5,4,5,1,2,3,1,1,1,5
Knockin' on Heaven's Door,3,3,2,4,"['strong_pacing', 'tight_structure']",[],4,bittersweet,4,earned,4,4,4,3,3,False,4,5,4,1,2,2,1,1,1,3
Sling Blade,3,4,1,4,"['unpredictable', 'tight_structure']",[],5,bittersweet,5,earned,4,5,4,3,3,False,4,3,5,1,1,3,1,1,1,3
Secrets & Lies,3,4,2,4,"['unpredictable', 'tight_structure']",[],5,bittersweet,4,earned,5,4,4,3,1,False,3,1,5,1,1,3,1,1,1,3
Twelve Monkeys,3,5,1,4,"['unpredictable', 'plot_twists', 'tight_structure']",[],4,sad,4,earned,4,5,4,4,3,False,4,3,5,1,2,5,1,1,1,3
Kôkaku Kidôtai,3,5,1,4,"['unpredictable', 'tight_structure']",[],4,bittersweet,5,ambiguous,5,5,5,5,5,False,5,5,4,3,3,5,4,1,1,3
The Nightmare Before Christmas,4,5,4,4,"['strong_pacing', 'tight_structure']",['predictable'],4,happy,4,satisfying,5,5,4,5,5,False,5,5,4,1,2,3,1,1,1,4
Groundhog Day,4,5,4,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,happy,5,satisfying,5,5,5,3,3,False,4,4,5,1,2,3,1,1,1,3
Bound by Honor,3,3,1,4,"['unpredictable', 'plot_twists', 'tight_structure']","['cliche', 'predictable']",4,bittersweet,4,satisfying,4,4,4,3,3,False,4,3,4,4,4,4,1,1,1,3
Scent of a Woman,3,3,2,4,"['tight_structure', 'unpredictable', 'strong_pacing']",['predictable'],5,happy,5,earned,4,5,4,3,3,False,4,5,5,1,1,3,1,1,1,3
Aladdin,3,2,5,3,['tight_structure'],"['predictable', 'narrative_inconsistency']",3,happy,4,satisfying,4,3,3,4,4,False,4,4,4,3,3,2,1,2,1,3
JFK,4,5,1,4,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",['narrative_inconsistency'],5,energized,4,earned,5,5,4,4,3,False,5,4,5,5,5,5,3,4,1,1
Beauty and the Beast,4,3,5,4,"['strong_pacing', 'tight_structure']",[],4,happy,5,satisfying,5,5,4,5,5,False,5,5,5,1,2,1,1,1,1,2
Dances with Wolves,3,4,3,4,"['strong_pacing', 'tight_structure']","['predictable', 'cliche']",4,bittersweet,4,satisfying,5,5,4,5,4,False,5,4,4,1,2,4,1,1,3,2
Do the Right Thing,3,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,sad,5,earned,5,5,5,5,4,False,4,5,5,1,5,4,1,1,1,3
Rain Man,3,4,3,4,"['strong_pacing', 'tight_structure']",['predictable'],4,bittersweet,4,earned,4,5,4,3,3,False,4,3,5,1,1,3,1,1,1,3
Akira,4,5,1,4,"['unpredictable', 'strong_pacing']",['narrative_inconsistency'],3,bittersweet,3,ambiguous,5,5,4,5,5,False,5,5,4,1,2,4,2,4,2,3
The Princess Bride,5,5,5,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,happy,5,satisfying,4,5,5,3,3,False,4,4,5,1,3,1,1,1,1,1
Der Himmel über Berlin,3,5,1,4,"['unpredictable', 'tight_structure']",[],5,bittersweet,4,earned,5,5,5,5,4,False,5,4,4,1,4,5,1,1,1,3
Au revoir les enfants,3,3,2,4,"['tight_structure', 'strong_pacing']",[],4,bittersweet,5,earned,4,5,4,3,3,False,3,3,4,1,1,3,1,1,1,2
Tenkû no shiro Rapyuta,4,5,5,4,"['strong_pacing', 'tight_structure']",[],4,bittersweet,4,satisfying,5,5,4,5,4,False,5,4,4,4,2,3,1,2,1,1
The Terminator,5,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,bittersweet,5,satisfying,5,5,5,4,4,False,5,4,5,3,2,2,1,2,1,3
Gandhi,3,4,3,4,['tight_structure'],['predictable'],4,bittersweet,4,earned,4,5,4,4,3,False,4,3,5,1,4,4,1,1,1,2
Kagemusha,3,4,2,4,"['strong_pacing', 'tight_structure']",[],4,sad,4,earned,5,5,4,5,4,False,4,4,5,1,4,4,2,1,3,3
Being There,3,5,3,5,"['unpredictable', 'tight_structure']",[],5,neutral,5,ambiguous,4,5,5,4,3,False,4,3,5,1,2,3,1,1,1,4
Annie Hall,4,5,1,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,4,5,5,3,3,False,4,4,5,3,5,4,2,1,1,3
Jaws,4,5,2,5,"['strong_pacing', 'tight_structure']",[],5,energized,5,satisfying,5,5,5,4,4,False,5,1,5,4,1,2,1,1,5,1
Dog Day Afternoon,4,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,4,4,False,4,3,5,1,2,3,1,1,1,2
Young Frankenstein,5,5,3,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,happy,5,satisfying,5,5,5,5,4,False,5,4,5,1,5,3,1,1,1,3
Papillon,3,4,1,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],3,bittersweet,5,satisfying,4,5,4,4,3,False,5,3,5,1,1,3,1,1,3,3
The Exorcist,3,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,5,5,5,4,5,False,5,4,5,1,2,3,1,3,1,5
Sleuth,3,4,1,5,"['unpredictable', 'plot_twists', 'tight_structure']",[],5,sad,4,earned,4,4,4,3,1,False,4,3,5,1,2,4,1,1,1,5
The Last Picture Show,3,4,1,4,"['tight_structure', 'unpredictable']",[],5,bittersweet,5,earned,5,5,5,5,1,False,4,4,5,1,3,3,1,1,1,3
Fiddler on the Roof,3,4,4,4,['tight_structure'],['predictable'],4,bittersweet,4,earned,4,5,4,4,3,False,4,5,5,4,4,3,1,1,1,3
Il conformista,3,5,1,5,"['unpredictable', 'tight_structure']",[],4,sad,5,earned,5,5,5,5,5,False,5,4,5,1,4,5,4,1,1,3
Butch Cassidy and the Sundance Kid,3,4,3,4,"['unpredictable', 'tight_structure']",['predictable'],5,bittersweet,5,earned,4,5,4,4,3,False,5,5,5,1,1,3,1,1,2,3
Rosemary's Baby,3,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,5,5,5,4,3,False,5,5,5,1,1,3,1,1,1,5
Planet of the Apes,3,5,2,4,"['unpredictable', 'plot_twists', 'tight_structure']",[],4,disappointed,5,earned,4,5,4,4,4,False,5,3,4,3,2,4,1,1,1,5
The Graduate,3,5,1,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,ambiguous,4,5,4,4,3,False,5,5,5,4,1,3,1,1,1,3
Who's Afraid of Virginia Woolf?,3,5,1,5,"['unpredictable', 'plot_twists', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,4,1,False,4,1,5,1,4,4,1,1,1,3
The Sound of Music,2,3,5,4,"['strong_pacing', 'tight_structure']",['predictable'],3,energized,4,satisfying,4,5,4,5,3,False,5,5,4,1,2,2,1,1,1,3
Doctor Zhivago,3,3,3,4,['strong_pacing'],"['predictable', 'cliche']",4,bittersweet,4,earned,5,5,4,5,4,False,5,5,4,1,3,4,1,1,1,3
Per un pugno di dollari,3,4,1,4,"['strong_pacing', 'tight_structure']",['predictable'],4,energized,5,satisfying,4,5,4,4,3,False,5,5,4,1,2,3,1,1,3,3
8½,3,5,1,4,"['unpredictable', 'tight_structure']",['narrative_inconsistency'],4,bittersweet,5,earned,5,5,5,5,4,False,5,4,5,1,5,5,4,1,1,1
Vivre sa vie: Film en douze tableaux,3,5,1,4,"['tight_structure', 'unpredictable', 'strong_pacing']",['narrative_inconsistency'],4,sad,4,abrupt,4,5,4,5,1,False,4,4,5,1,5,5,4,1,1,1
The Hustler,3,4,1,4,"['strong_pacing', 'tight_structure']",[],5,bittersweet,4,earned,5,5,4,5,3,False,4,3,5,1,2,3,1,1,1,3
La dolce vita,2,5,1,4,"['unpredictable', 'tight_structure']",['predictable'],4,sad,4,ambiguous,5,5,4,5,4,False,5,4,5,1,3,4,2,1,1,3
Rio Bravo,3,3,3,4,"['strong_pacing', 'tight_structure']",['predictable'],5,happy,4,satisfying,4,5,4,3,3,False,4,5,5,1,1,2,1,1,1,1
Anatomy of a Murder,3,4,1,4,"['plot_twists', 'tight_structure']",[],5,neutral,4,satisfying,4,5,4,4,3,False,5,5,5,1,1,4,3,1,1,3
Touch of Evil,4,5,1,4,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,5,5,5,5,4,False,5,4,5,5,1,4,2,1,1,3
Cat on a Hot Tin Roof,3,4,1,4,"['unpredictable', 'strong_pacing', 'tight_structure']",['narrative_inconsistency'],5,bittersweet,3,satisfying,4,5,4,4,3,False,4,3,5,1,2,3,1,1,1,3
Sweet Smell of Success,4,5,1,5,"['strong_pacing', 'tight_structure']",[],5,neutral,5,earned,5,5,5,5,3,False,5,3,5,1,1,4,1,1,1,3
The Killing,4,5,1,4,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],4,disappointed,5,earned,4,5,4,4,3,False,4,3,4,1,1,3,1,1,1,4
The Night of the Hunter,3,5,1,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,bittersweet,4,earned,5,5,5,5,3,False,4,5,5,1,4,3,1,1,1,5
La Strada,3,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,sad,5,earned,5,5,5,4,2,False,5,5,5,1,1,4,2,1,1,1
Les diaboliques,4,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],4,energized,5,earned,5,5,5,4,3,False,4,3,5,1,1,4,1,1,1,5
Stalag 17,4,4,2,4,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,energized,4,satisfying,4,4,4,3,3,False,3,3,5,1,1,3,1,1,1,1
Roman Holiday,3,4,4,4,"['strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,5,5,4,4,3,False,4,3,5,1,1,1,1,1,1,3
A Streetcar Named Desire,3,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,sad,5,earned,5,5,5,5,3,False,5,4,5,1,1,4,1,1,1,1
In a Lonely Place,3,4,1,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,sad,5,earned,4,5,4,3,3,False,4,4,5,1,2,4,1,1,1,5
Kind Hearts and Coronets,3,5,2,5,"['unpredictable', 'plot_twists', 'tight_structure']",[],5,bittersweet,5,ambiguous,4,5,5,3,2,False,3,2,5,1,1,3,1,1,1,2
Rope,3,5,1,4,"['strong_pacing', 'tight_structure']",[],4,neutral,4,satisfying,4,5,4,4,1,False,3,1,4,1,2,3,2,1,1,3
Out of the Past,4,4,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,4,4,5,1,1,3,1,1,1,4
Brief Encounter,3,4,2,4,"['strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,4,3,False,5,5,5,1,1,3,1,1,1,3
Laura,3,5,2,4,"['unpredictable', 'plot_twists', 'tight_structure']",[],5,bittersweet,4,earned,5,5,4,5,3,False,5,5,5,1,1,3,1,1,1,5
The Best Years of Our Lives,3,4,3,5,"['strong_pacing', 'tight_structure', 'unpredictable']",[],5,bittersweet,4,earned,5,5,5,3,1,False,4,1,5,1,2,4,1,1,1,3
Arsenic and Old Lace,4,4,3,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,happy,4,satisfying,4,4,4,3,1,False,3,1,5,1,1,3,1,1,1,5
The Maltese Falcon,4,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,4,5,5,4,3,False,4,3,5,1,2,3,1,1,1,1
The Grapes of Wrath,3,4,2,5,"['strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,5,4,5,1,1,4,1,1,2,3
The Wizard of Oz,3,5,5,4,"['unpredictable', 'plot_twists', 'tight_structure']","['predictable', 'cliche']",4,happy,4,satisfying,5,5,5,5,5,False,5,5,5,1,1,2,1,1,1,1
